init_node;term_node;capacity;length
1;2;25900.20064;6
1;3;23403.47319;4
2;1;25900.20064;6
2;6;4958.180928;5
3;1;23403.47319;4
3;4;17110.52372;4
3;12;23403.47319;4
4;3;17110.52372;4
4;5;17782.7941;2
4;11;4908.82673;6
5;4;17782.7941;2
5;6;4947.995469;4
5;9;10000;5
6;2;4958.180928;5
6;5;4947.995469;4
6;8;4898.587646;2
7;8;7841.81131;3
8;6;4898.587646;2
8;7;7841.81131;3
8;9;5050.193156;10
9;5;10000;5
9;8;5050.193156;10
9;10;13915.78842;3
10;9;13915.78842;3
10;11;10000;5
11;4;4908.82673;6
11;10;10000;5
11;12;4908.82673;6
12;3;23403.47319;4
12;11;4908.82673;6
